"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Not Funded","Submitted to Sponsor","Under Consideration","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date"
"23-1406-P0003","2023 Title III-D Evidence-Based Program Delivery","Christine L. McKibbin","Funded","Wyoming Department of Health",NA,"Psychology","10/1/2022","9/30/2023","New",NA,"23-1406","Psychology","Wyoming State Governmental Entities",NA,"6/30/2023 01:24:38 pm","30000","7/15/2022","Wyoming Department of Health: Title III-D","Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Status was changed from: In Development to Submitted to Sponsor > Proposal Created","Farrell Jean Rapp > Tashina Lemons > Ashley Schnell","12/23/2024 09:46:17 am > 7/3/2023 11:46:36 am > 6/30/2023 01:24:37 pm","Assuming not funded since more than 12 months have passed since submission. > Legacy data (FY23) submitted to sponsor 7/14/22",NA,"Not Funded",NA,"7/3/2023 11:44:29 am","Not Completed > Cancelled",NA,"30000","0","30000",NA,"Yes",2023-07-03 11:46:36,NA,"FY2024","231406A0003",NA,NA,"College of Arts & Sciences",1,0,0,0,1,"06/30/2023","06/30/2023"
"24-0861-P0002","2024 CAPS Infrastructure","Douglas Isaac Smith","Funded","Animal and Plant Health Inspection Service/Department of Agriculture",NA,"Ecosystem Science & Management","2/1/2024","1/31/2025","Renewal",NA,"24-0861","Ecosystem Science & Management","U.S. Federal Government",NA,"2/29/2024 01:35:50 pm","80933","8/4/2023","2024 Cooperative Agricultural Pest Survey (CAPS) Infrastructure","Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: John Ruess > Proposal Created > Status was changed from: Under Review to In Development > Unassigned from SP Proposal Administrator: Kasi Smart > Status was changed from: Under Review to Approved > Certified > Assigned to SP Proposal Administrator: Tashina Lemons > Unassigned from SP Proposal Administrator: Tashina Lemons > Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Kasi Smart > Status was changed from: Submitted to Sponsor to Funded","Douglas Isaac Smith > Inna Willis > Tashina Lemons > Farrell Jean Rapp","3/29/2024 11:00:29 am > 7/29/2024 01:45:35 pm > 2/29/2024 01:35:49 pm > 3/29/2024 09:52:49 am > 3/29/2024 11:18:00 am > 3/29/2024 03:15:31 pm > 3/29/2024 11:37:35 am > 3/29/2024 11:18:07 am > 7/29/2024 01:45:31 pm > 4/11/2024 01:53:19 pm > 3/22/2024 09:32:19 am > 3/29/2024 11:17:09 am > 3/19/2024 04:23:59 pm > 4/22/2024 04:40:03 pm > 3/29/2024 11:16:43 am","Updates to budget tab > Previously submitted to sponsor 8/4/23; no pre-award review > Funded. Sponsor approved Pre-Award spending. > Updates to proposal tab",NA,NA,NA,"3/29/2024 11:41:02 am > 3/29/2024 09:49:42 am > 3/29/2024 11:41:16 am > 3/29/2024 11:37:35 am > 3/29/2024 11:17:17 am > 3/29/2024 03:15:31 pm","Approved > Certified","25008","73575","7358","80933","A collaborative proposal","Yes",2024-04-11 13:53:19,"2024-04-22 16:40:03","FY2024","240861A0002",80933,"10TDC","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"04/11/2024","04/11/2024"
"24-0694-P0001","2024 DOE Building EPSCoR-State/National Laboratory Partnerships","TeYu Chien","Submitted to Sponsor","Office of Science/U.S. Department of Energy",NA,"Physics & Astronomy","8/1/2024","7/31/2028","New",NA,"24-0694","Physics & Astronomy","U.S. Federal Government",NA,"1/13/2024 04:17:17 pm","1000000","2/28/2024","Integrating Novel Magnetic Spin Textures with Superconductors for Skyrmion-Superconductor Hybrid Systems","Certified > Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to In Development > Status was changed from: Under Review to Approved","TeYu Chien > Jifa Tian > Jinke Tang > Thomas Abraham Lentner > Alexander Paul Petrovic > Farrell Jean Rapp","2/27/2024 02:01:54 pm > 2/28/2024 09:15:20 am > 2/27/2024 01:21:55 pm > 1/13/2024 04:17:17 pm > 1/17/2024 09:52:17 am > 1/14/2024 04:02:06 pm > 2/28/2024 01:46:15 pm > 1/25/2024 08:44:09 am > 2/27/2024 01:17:03 pm > 2/27/2024 01:13:51 pm > 2/28/2024 10:58:16 am","Submitted at 1:45 on 02/28/2024 > Moving back to ""in-development"" pending approval to submit full proposal.",NA,NA,"minor revisions to technical narrative pending.  To be completed prior to submission","2/28/2024 10:45:26 am > 2/28/2024 10:58:16 am > 2/28/2024 09:19:34 am > 2/27/2024 01:14:18 pm > 2/27/2024 02:01:54 pm > 2/28/2024 09:15:20 am > 2/27/2024 01:21:55 pm > 2/28/2024 09:19:46 am > 2/27/2024 01:17:03 pm","Approved > Certified",NA,"745650","254350","1000000",NA,"Yes",2024-02-28 13:46:15,NA,"FY2024","240694A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"07/06/2023","07/06/2023"
"24-0859-P0001","2024 Judicial Performance Assessment (JPA)","Brian J. Harnisch","Funded","Wyoming State Bar",NA,"Wyoming Survey & Analysis Center","3/25/2024","11/30/2024","New",NA,"24-0859","Wyoming Survey & Analysis Center","Wyoming State Governmental Entities",NA,"2/28/2024 12:39:11 pm","23120.29","3/25/2024","2024 Judicial Performance Assessment (JPA)","Status was changed from: Approved to Submitted to Sponsor > Certified > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Proposal Created > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: Under Review to Approved","Tashina Lemons > Brian J. Harnisch > Kristi Hargis Stockdale > Farrell Jean Rapp","3/22/2024 02:51:35 pm > 3/19/2024 11:11:28 am > 2/29/2024 10:36:22 am > 3/19/2024 10:48:51 am > 2/28/2024 12:39:10 pm > 5/8/2024 11:21:20 am > 3/19/2024 12:44:40 pm","Confirmed with PI, documents provided to sponsor. > Funded",NA,NA,NA,"3/19/2024 11:16:31 am > 3/19/2024 11:11:28 am > 3/19/2024 11:11:35 am > 3/19/2024 10:49:02 am > 3/19/2024 12:44:40 pm","Approved > Certified",NA,"19266.91","3853.38","23120.29",NA,"Yes",2024-03-22 14:51:35,"2024-05-08 11:21:20","FY2024","240859A0001",23120,"20TDC","Research",1,0,0,0,1,"09/05/2023",NA
"25-0182-P0001","2024 NSF ERI","Zejian Zhou","Submitted to Sponsor","National Science Foundation",NA,"Electrical Engineering & Computer Science","4/1/2025","4/1/2027","New",NA,"25-0182","Electrical Engineering & Computer Science","U.S. Federal Government",NA,"9/30/2024 11:17:33 am","199369","10/9/2024","Modeling Irrational Behaviors in Multi-Agent Systems: A Reinforcement Learning Perspective","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Form was edited in 'Under Review' status > Certified > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to Approved > Status was changed from: Under Review to In Development > Status was changed from: In Development to Under Review","Zejian Zhou > Janissa Marie Analissia Martinez > Farrell Jean Rapp > John Ruess","9/30/2024 11:17:32 am > 10/4/2024 08:09:51 am > 10/7/2024 09:15:33 am > 10/7/2024 08:28:48 am > 10/9/2024 01:58:10 pm > 10/7/2024 09:16:44 am > 10/7/2024 08:27:29 am > 10/7/2024 08:28:01 am > 10/7/2024 08:25:08 am","Submitted > edits",NA,NA,NA,"10/7/2024 08:28:12 am > 10/7/2024 08:28:48 am > 10/7/2024 08:54:34 am > 10/7/2024 09:16:44 am > 10/7/2024 09:07:52 am","Approved > Certified",NA,"145802","53567","199369",NA,"Yes",2024-10-09 13:58:10,NA,"FY2025","250182A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"05/26/2023","05/26/2023"
"24-0829-P0001","2024 North Dakota Adult Tobacco Survey","Brian J. Harnisch","Funded","North Dakota Department of Health and Human Services",NA,"Research & Economic Development Department","3/1/2024","10/31/2024","Other",NA,"24-0829","Wyoming Survey & Analysis Center","Other State and Local Governmental Entities","Out-of-State Government","2/15/2024 03:32:51 pm","114467.61","2/29/2024","2024 North Dakota Adult Tobacco Survey","Proposal Created > Certified > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Assigned to SP Proposal Administrator: Tashina Lemons","Brian J. Harnisch > Michael D. Dorssom > Farrell Jean Rapp > Tashina Lemons > Thomas Abraham Lentner","2/15/2024 03:32:51 pm > 2/20/2024 07:47:27 am > 2/26/2024 12:54:20 pm > 2/26/2024 12:54:28 pm > 2/21/2024 06:13:42 pm > 2/19/2024 02:15:00 pm > 2/22/2024 08:25:38 am > 2/16/2024 09:10:11 am","Submitted. > Funded.",NA,NA,"Please correct admin unit to be WYSAC. Please also check yes on the indirect cost limitation since and F&A waiver was approved.","2/19/2024 02:15:22 pm > 2/21/2024 06:14:03 pm > 2/22/2024 08:25:38 am > 2/21/2024 06:13:54 pm > 2/20/2024 07:47:27 am > 2/21/2024 06:16:08 pm > 2/21/2024 06:13:42 pm","Approved > Certified",NA,"95389.68","19077.94","114467.61",NA,"Yes",2024-02-26 12:54:20,"2024-02-26 12:54:28","FY2024","240829A0001",NA,NA,"Research",1,0,0,0,1,"09/05/2023",NA
"24-1071-P0001","2024 Oakey Bergman NIH SEPA","John S. Oakey","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",NA,"Chemical & Biomedical Engineering","4/1/2025","3/31/2030","New",NA,"24-1071","Chemical & Biomedical Engineering","U.S. Federal Government",NA,"6/5/2024 07:51:08 am","1806250","6/7/2024","Living Materials - Using the Natural World to Inspire Discovery and Design","Status was changed from: Under Review to Approved > Certified > Status was changed from: In Development to Under Review > Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Proposal Created > Status was changed from: Under Review to In Development","Farrell Jean Rapp > Megan Schnorenberg Candelaria > John S. Oakey > Thomas Abraham Lentner > Inna Willis > Kasi Smart > Anne Narahara Bergman","6/6/2024 11:18:16 am > 6/5/2024 09:15:07 am > 6/5/2024 08:31:03 am > 6/12/2024 02:07:40 pm > 6/5/2024 08:10:59 am > 7/30/2024 04:03:37 pm > 6/5/2024 07:51:07 am > 6/5/2024 08:17:59 am > 6/5/2024 08:39:58 am > 6/5/2024 08:52:23 am","Submitted 06/07/2024 by KS > need to adjust fringe",NA,NA,"I approve. > No comments.","6/5/2024 01:59:00 pm > 6/5/2024 03:34:15 pm > 6/5/2024 08:39:58 am > 6/6/2024 11:18:16 am > 6/5/2024 09:15:07 am > 6/5/2024 08:38:24 am > 6/5/2024 08:52:23 am > 6/6/2024 10:33:05 am > 6/6/2024 10:17:16 am","Approved > Certified",NA,"1250000","556250","1806250",NA,"Yes",2024-06-12 14:07:40,NA,"FY2024","241071A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"06/12/2024","06/12/2024"
"24-0559-P0001","2024 PSEFMP funds to support American Association of Pesticide Safety Educators (AAPSE) member Professional Improvement","Jeffrey Michael Edwards","Funded","eXtension Foundation","Environmental Protection Agency","UW Extension","1/1/2024","12/31/2024","New",NA,"24-0559","UW Extension","U.S. Federal Government",NA,"11/10/2023 04:21:02 pm","18685","11/30/2023","2024 PSEFMP funds to support American Association of Pesticide Safety Educators (AAPSE) member Professional Improvement","Certified > Status was changed from: Submitted to Sponsor to Funded > Form was edited in 'Funded' status > Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Jeffrey Michael Edwards > Farrell Jean Rapp > Tashina Lemons","11/17/2023 10:59:20 am > 6/26/2024 02:08:13 pm > 6/26/2024 02:08:34 pm > 11/10/2023 04:21:02 pm > 11/17/2023 10:57:16 am > 11/17/2023 02:17:54 pm > 11/20/2023 11:36:24 am","Funded. > Proposal was submitted to sponsor 11/20/23",NA,NA,"Please add Tori Henderson for access and Beki Hovet Wyocloud","11/17/2023 11:00:22 am > 11/17/2023 10:57:24 am > 11/17/2023 02:17:55 pm > 11/17/2023 11:00:27 am > 11/17/2023 11:00:14 am > 11/17/2023 10:59:20 am","Approved > Certified",NA,"13826.9","4858.1","18685","A Subrecipient","No",2023-11-20 11:36:24,"2024-06-26 14:08:34","FY2024","240559A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"06/08/2023","11/20/2023"
"24-1038-P0001","2024 State Justice Statistics","Laurel Allison Wimbish","Funded","Bureau of Justice Statistics/Department of Justice",NA,"Wyoming Survey & Analysis Center","10/1/2024","9/30/2025","New",NA,"24-1038","Wyoming Survey & Analysis Center","U.S. Federal Government",NA,"5/23/2024 08:43:23 am","206827","6/24/2024","2024 State Justice Statistics","Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Kristi Hargis Stockdale > Status was changed from: Under Consideration to Funded > Certified > Status was changed from: In Development to Under Review > Proposal Created > Status was changed from: Under Review to Approved > Status was changed from: Submitted to Sponsor to Under Consideration","Kristi Hargis Stockdale > Inna Willis > Laurel Allison Wimbish > Farrell Jean Rapp","6/27/2024 09:39:03 am > 6/13/2024 01:58:02 pm > 10/3/2024 04:11:40 pm > 6/18/2024 07:58:22 am > 6/17/2024 01:40:08 pm > 5/23/2024 08:43:22 am > 6/18/2024 10:18:38 am > 9/26/2024 11:08:52 am","Submitted 6/27/2024 > Funded. > Application GRANT14193085 submitted under the 2024 BJS FY24 State Justice Statistics Program for Statistical Analysis Centers has been selected for an award.",NA,NA,NA,"6/18/2024 08:34:36 am > 6/18/2024 07:58:22 am > 6/18/2024 09:27:03 am > 6/18/2024 09:27:08 am > 6/17/2024 01:40:21 pm > 6/18/2024 09:26:58 am > 6/18/2024 10:18:38 am","Approved > Certified",NA,"154348.5","52478.5","206827",NA,"Yes",2024-06-27 09:39:03,"2024-10-03 16:11:40","FY2024","241038A0001",217924,"34MTDC1","Research",1,0,0,0,1,"06/08/2023","09/18/2023"
"24-0090-P0001","2024 Title III-D for Evidence-Based Program Delivery","Christine L. McKibbin","Funded","Wyoming Department of Health",NA,"Psychology Department","10/1/2023","9/30/2024","New",NA,"24-0090","Psychology","Wyoming State Governmental Entities",NA,"7/21/2023 04:23:04 pm","30000","8/7/2023","2024 Title IIID for Delivery of Evidence-Based Chronic Disease Education","Proposal Created > Certified > Status was changed from: Under Review to Approved > Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: Approved to Submitted to Sponsor","Catherine Carrico > Christine McKibbin > Farrell Jean Rapp > John Ruess","7/21/2023 04:23:04 pm > 8/4/2023 05:05:17 pm > 8/7/2023 11:32:46 am > 8/4/2023 03:11:46 pm > 8/4/2023 03:33:42 pm > 2/13/2024 03:56:12 pm > 8/9/2023 10:32:15 am","Funded. > 8-7-23",NA,NA,"8-4-23","8/7/2023 11:32:46 am > 8/5/2023 09:26:35 am > 8/4/2023 05:05:17 pm > 8/7/2023 08:43:46 am > 8/5/2023 09:26:45 am > 8/4/2023 03:31:23 pm > 8/4/2023 03:33:42 pm","Approved > Certified",NA,"30000","0","30000",NA,"Yes",2023-08-09 10:32:15,"2024-02-13 15:56:12","FY2024","240090A0001",30000,"NONE","College of Arts & Sciences",1,0,0,0,1,"06/30/2023","06/30/2023"
"24-0412-P0001","2024 UW Cellofest, Junior Music","Tiger Alton Robison","Funded","Wyoming Arts Council",NA,"Music Department","7/1/2023","6/30/2024","New",NA,"24-0412","Music","Non-Profit Organizations",NA,"9/19/2023 08:24:49 am","9824","4/1/2023","2024 UW Cello Festival and Laramie Junior Music Club","Status was changed from: Under Review to Approved > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Kasi Smart > Certified > Status was changed from: Approved to Submitted to Sponsor > Proposal Created > Status was changed from: Under Review to In Development > Status was changed from: Submitted to Sponsor to Funded","Farrell Jean Rapp > Bryce William Howard > Tiger Robison > Beth Vanderborgh","10/12/2023 04:36:57 pm > 9/19/2023 03:23:10 pm > 9/19/2023 02:44:25 pm > 9/19/2023 01:27:08 pm > 10/9/2023 08:06:51 am > 10/16/2023 08:23:02 am > 10/11/2023 02:09:55 pm > 9/19/2023 08:24:48 am > 9/19/2023 03:18:57 pm > 10/16/2023 08:23:10 am","Legacy. No Greensheet. > Making corrections > Funded.",NA,NA,"Legacy. No Greensheet. No Pre-Award Review.","10/11/2023 02:09:55 pm > 10/12/2023 11:22:59 am > 10/12/2023 04:21:35 pm > 10/9/2023 08:06:51 am > 9/19/2023 03:23:39 pm > 10/12/2023 04:36:57 pm > 10/12/2023 11:22:44 am","Certified > Approved","9824","9824","0","19648",NA,"Yes",2023-10-16 08:23:02,"2023-10-16 08:23:10","FY2024","240412A0001",NA,NA,"College of Arts & Sciences",1,0,0,0,1,"10/16/2023",NA
"24-0167-P0001","2024-2026 SBA SBDC","Jill K Kline","Funded","Small Business Administration",NA,"Small Business Development Center","1/1/2024","12/31/2025","New",NA,"24-0167","Small Business Development Center","U.S. Federal Government",NA,"8/14/2023 04:05:51 pm","777777","8/29/2023","Wyoming Small Business Development Center","Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to In Development > Status was changed from: In Development to Under Review > Proposal Created > Status was changed from: Submitted to Sponsor to Funded > Certified > Status was changed from: Under Review to Approved","Tashina Lemons > Jill K Kline > Thomas Abraham Lentner > Farrell Jean Rapp","8/29/2023 11:01:25 am > 8/28/2023 04:45:36 pm > 8/28/2023 04:42:34 pm > 8/14/2023 04:05:50 pm > 1/31/2024 12:54:39 pm > 8/28/2023 04:47:33 pm > 8/28/2023 05:09:48 pm > 8/28/2023 04:46:41 pm","submitted to sponsor 8/29/23 > amendments made > NOA received on 1/31/2024",NA,NA,NA,"8/28/2023 04:42:47 pm > 8/28/2023 04:48:58 pm > 8/28/2023 05:01:19 pm > 8/28/2023 05:09:48 pm > 8/28/2023 04:47:33 pm > 8/28/2023 04:42:46 pm > 8/28/2023 04:46:52 pm > 8/28/2023 04:48:48 pm","Cancelled > Approved > Certified","625072.91","648147.67","129629.33","1555554",NA,"Yes",2023-08-29 11:01:25,"2024-01-31 12:54:39","FY2024","240167A0001",337976.3,"20TDC","Economic Development",1,0,0,0,1,"06/06/2023","06/06/2023"
"24-0113-P0001","2024FY_NEUP_PreApplicaiton","Xiang Zhang","Not Funded","U.S. Department of Energy",NA,"Mechanical Engineering","7/1/2024","8/31/2027","Pre-proposal",NA,"24-0113","Mechanical Engineering","U.S. Federal Government",NA,"7/27/2023 08:49:18 am","400000","7/26/2023","Study of combined thermal and irradiation creep of Nickel-based alloy for nuclear structural application: multiscale computational modeling, uncertainty quantification and experimental investigation","Status was changed from: In Development to Under Review > Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Kasi Smart > Status was changed from: Under Review to Approved > Certified > Proposal Created > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Status was changed from: Under Review to In Development","Kasi Smart > Bryce Howard > Farrell Jean Rapp > Xiang Zhang","7/31/2023 04:17:05 pm > 8/17/2023 04:24:03 pm > 7/27/2023 04:22:28 pm > 8/3/2023 03:02:17 pm > 8/1/2023 07:02:46 pm > 7/27/2023 08:49:18 am > 1/2/2025 12:00:25 pm > 7/31/2023 04:16:33 pm > 7/27/2023 02:05:21 pm","pre-app submitted to sponsor 7/26/2023 > Assuming not funded, as it’s been over 12 months since submission with no updates. > Adding fiscal contacts, will route afterwards.",NA,"Not Funded","Please also add Jo Marie Paintin for WyoCloud access","7/31/2023 04:17:15 pm > 8/2/2023 10:02:12 am > 8/3/2023 03:02:17 pm > 8/1/2023 07:02:46 pm > 8/2/2023 07:56:02 pm","Approved > Certified",NA,"360000","40000","400000",NA,"Yes",2023-08-17 16:24:03,NA,"FY2024","240113A0001",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,1,"07/31/2023","07/31/2023"
"25-0551-P0001","2025 BBRF","Alexander R. French","Submitted to Sponsor","Brain and Behavior Research Foundation",NA,"School of Pharmacy","1/15/2026","1/14/2028","New",NA,"25-0551","School of Pharmacy","Non-Profit Organizations",NA,"2/17/2025 08:59:03 pm","69662","3/12/2025","Identification of synthesia-mediating neurons in sensory cortices in mice.","Status was changed from: In Development to Under Review > Proposal Created > Status was changed from: Under Review to Approved > Certified > Status was changed from: Under Review to In Development > Status was changed from: Approved to Submitted to Sponsor","Marissa K. Gannon > Alexander R. French > Farrell Jean Rapp","2/26/2025 03:42:17 pm > 2/17/2025 08:59:03 pm > 2/27/2025 03:02:15 pm > 2/26/2025 02:25:07 pm > 2/27/2025 10:56:54 am > 2/26/2025 03:38:20 pm > 3/11/2025 01:08:59 pm","Updating form fields > submitted tracking 92815",NA,NA,"I have reviewed this proposal and approve.  \n > Passes pre-award checks.  Sponsor limits on IDC approved by DVPR > AP approved IDC limitation.","2/27/2025 11:15:16 am > 2/27/2025 09:39:41 am > 2/27/2025 10:56:54 am > 2/27/2025 03:02:15 pm > 2/27/2025 02:49:36 pm","Approved > Certified",NA,"69662","0","69662",NA,"Yes",2025-03-11 13:08:59,NA,"FY2025","250551A0001",NA,NA,"College of Health Sciences",0,0,1,0,1,"03/11/2025",NA
"25-0396-P0001","2025 Cooperative Agricultural Pest Survey (CAPS)","Douglas Isaac Smith","Submitted to Sponsor","Animal and Plant Health Inspection Service/Department of Agriculture",NA,"Ecosystem Science & Management","3/1/2025","2/28/2026","Renewal",NA,"25-0396","Ecosystem Science & Management","U.S. Federal Government",NA,"1/2/2025 10:52:45 am","107456","1/17/2025","2025 Cooperative Agricultural Pest Survey (CAPS) Infrastructure","Certified > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Proposal Created","Douglas Isaac Smith > John Ruess > Farrell Jean Rapp","1/20/2025 05:01:45 pm > 1/17/2025 11:06:28 am > 1/23/2025 02:32:43 pm > 3/10/2025 09:39:07 am > 1/2/2025 10:52:44 am","submitted",NA,NA,"AP approves IDC limitation.","1/21/2025 06:57:34 am > 1/20/2025 05:01:45 pm > 1/21/2025 06:57:30 am > 1/23/2025 02:32:44 pm > 1/17/2025 11:15:57 am","Approved > Certified",NA,"97688","9768","107456",NA,"Yes",2025-03-10 09:39:07,NA,"FY2025","250396A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"04/11/2024","04/11/2024"
"25-0407-P0001","2025 Homestead Conference","Hannah Virginia Mills","Submitted to Sponsor","Wyoming Department of Agriculture",NA,"UW Extension","1/1/2026","9/30/2026","New",NA,"25-0407","UW Extension","Wyoming State Governmental Entities",NA,"1/7/2025 01:42:02 pm","11285.5","3/14/2025","Homestead Conference","Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Proposal Created > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Janissa Marie Analissia Martinez > Hannah Virginia Mills > Brenna Kaelyn Litynski > Farrell Jean Rapp > Thomas Abraham Lentner > Amy S Smith","1/14/2025 02:44:14 pm > 1/27/2025 12:16:53 pm > 1/27/2025 11:11:12 am > 1/27/2025 03:23:37 pm > 1/8/2025 10:42:32 am > 1/15/2025 07:58:09 am > 1/27/2025 10:54:35 am > 1/7/2025 01:42:01 pm > 1/29/2025 11:28:18 am > 1/28/2025 11:37:45 am > 1/8/2025 04:39:43 pm > 2/3/2025 12:24:22 pm > 1/28/2025 08:36:20 am > 1/14/2025 05:33:28 pm","update form fields > moving to development to update fields for review > Submitted to sponsor 2/3/2025.",NA,NA,"Passes pre-award checks.  Specialty Crop Program - no indirect costs in lieu of match. > AP approves Sponsor IDC limitation. > Passes pre-award checks.  Specialty Crop Program, IDC waived in lieu of match.","1/14/2025 04:52:41 pm > 1/28/2025 11:40:19 am > 1/27/2025 03:23:37 pm > 1/28/2025 11:40:14 am > 1/15/2025 07:58:09 am > 1/28/2025 11:37:45 am > 1/28/2025 08:36:20 am > 1/27/2025 10:54:35 am > 1/29/2025 11:28:18 am > 1/14/2025 05:33:28 pm > 1/28/2025 11:40:09 am > 1/27/2025 02:06:16 pm","Approved > Certified",NA,"11285.5","0","11285.5",NA,"Yes",2025-02-03 12:24:22,NA,"FY2025","250407A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"02/03/2025",NA
"25-0226-P0001","2025 PSEPFMP Funds","Jeremiah Vardiman","Funded","eXtension Foundation",NA,"UW Extension","1/1/2025","11/30/2025","Pre-proposal",NA,"25-0226","UW Extension","U.S. Federal Government",NA,"10/15/2024 12:49:06 pm","18685","11/11/2024","2025 PSEFMP Funds Pesticide Applicator Class and Website Development","Proposal Created > Status was changed from: Submitted to Sponsor to Under Consideration > Certified > Status was changed from: Approved to Submitted to Sponsor > Form was edited in 'Under Review' status > Status was changed from: Under Consideration to Funded > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Status was changed from: Under Review to Approved","Jeremiah Vardiman > Farrell Jean Rapp > Jeffrey Michael Edwards > Thomas Abraham Lentner > Janissa Marie Analissia Martinez","10/15/2024 12:49:05 pm > 12/19/2024 12:46:12 pm > 11/12/2024 08:25:05 am > 11/12/2024 09:11:58 am > 11/11/2024 02:56:21 pm > 11/11/2024 01:45:54 pm > 1/24/2025 04:45:20 pm > 10/16/2024 11:45:04 am > 11/8/2024 05:39:46 pm > 10/31/2024 11:38:46 am > 11/11/2024 01:46:05 pm > 11/12/2024 09:10:04 am > 10/21/2024 01:13:07 pm","PI forwarded the FDP subaward for review and signature. > Submitted by PI via sponsor portal on 11/11/2024 > Funded. > Update form feilds",NA,NA,"Passes pre-award checks.","11/11/2024 10:00:53 am > 11/12/2024 08:33:37 am > 11/12/2024 08:25:05 am > 11/12/2024 08:33:54 am > 11/12/2024 08:33:58 am > 11/12/2024 09:10:05 am > 11/11/2024 02:56:21 pm","Approved > Certified",NA,"13944.03","4740.97","18685",NA,"Yes",2024-11-12 09:11:58,"2025-01-24 16:45:20","FY2025","250226A0001",19849,"34MTDC1","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"11/12/2024","11/12/2024"
