Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-0184-A0001-0,"eBOSS and DESI: LSS Catalogs, Targeting and Spectroscopic Contaminants",445000,,,,,,
23-0184-A0001-1,"eBOSS and DESI: LSS Catalogs, Targeting and Spectroscopic Contaminants",445000,445000,328747.96,328747.96,116252.04,116252.04,445000
23-0184-A0001-2,"eBOSS and DESI: LSS Catalogs, Targeting and Spectroscopic Contaminants",685000,685000,508828.48,508828.48,176171.52,176171.52,685000
23-0928-A0001,Mycoplasma Bovis Emergence in Pronghorn,20000,,,,,,
23-1917-A0001,Bighorn sheep migration,45000,45000,45000,45000,0,0,45000
23-0560-A0001,Herbicide Evaluation Program,19600,,,,,,
23-0806-A0001,2021-2022 Pesticide Safety Education Program as funded by the Wyoming Product Registration fees,176484.2,,,,,,
24-0885-A0001-0,Compilation of Data and Trends of the Cody Area Economy,3350,,2500,3350,,850,3350
24-0885-A0001-1,Compilation of Data and Trends of the Cody Area Economy,3350,,2500,3350,,850,3350
23-1162-A0001-0,Species roles and the impacts of species loss in the formation and maintenance of an iconic mixed-species animal group,763791,,,,,,
23-1162-A0001-1,Species roles and the impacts of species loss in the formation and maintenance of an iconic mixed-species animal group,763791,763791,622689,622689,141102,141102,763791
23-1162-A0001-2,Species roles and the impacts of species loss in the formation and maintenance of an iconic mixed-species animal group,763791,763791,622689,622689,141102,141102,763791
23-0865-A0001-0,"Powder River Basin CORE-CM: Advancing Strategies for Carbon Ore, Rare Earth Element, and Critical Mineral Resource Development in the Nation's Largest Coal Producing Basin",1584438,,,,,,
23-0865-A0001-1,"Powder River Basin CORE-CM: Advancing Strategies for Carbon Ore, Rare Earth Element, and Critical Mineral Resource Development in the Nation's Largest Coal Producing Basin",2084438,2084438,1529749,1529749,554689,554689,2084438
23-0865-A0001-2,"Powder River Basin CORE-CM: Advancing Strategies for Carbon Ore, Rare Earth Element, and Critical Mineral Resource Development in the Nation's Largest Coal Producing Basin",2084438,2084438,1529749,1529749,554689,554689,2084438
24-0152-A0001-0,National Digital Newspaper Program,262828,262828,196140,196140,66688,66688,263960
24-0152-A0001-1,National Digital Newspaper Program,262828,262828,196140,196140,66688,66688,263960
24-0152-A0001-2,National Digital Newspaper Program,262828,262828,196140,196140,66688,66688,263960
23-1046-A0001,University of Wyoming Trumpet Workshop,500,,,,,,
24-0485-A0002,Hatch-Multistate Capacity,170313,170313,170313,170313,0,0,1621529
23-0088-A0001,Enhanced Hydrocarbon Recovery from Unconventional and Conventional Reservoirs,500000,,,,,,
23-1394-A0001,Dissecting the Prototypical Starbursts NGC 253 and M 82 and Their Cool Galactic Winds,10163,,,,,,
23-0486-A0001,"Identifying, predicting and managing the occurrence of harmful cyanobacterial blooms in Wyoming Reservoirs",243888,,,,,,
23-0291-A0001,Provide Substance Abuse Prevention Evaluation Services per the Federal Substance Abuse Prevention and Treatment Block Grant (SAPT BG) Requirements of the Substance Abuse and Mental Health Services Administration 2019,444050,,,,,,
23-0336-A0001,Red Desert Mule Deer Migrations FY20,5000,,,,,,
23-1154-A0001-0,Community Satisfaction Assessment for Conservation and Social Sustainability,63160,,,,,,
23-1154-A0001-1,Community Satisfaction Assessment for Conservation and Social Sustainability,63160,63160,63160,63160,0,0,63160
23-1291-A0001,North Dakota Oral Health Program Evaluation 2022-2023,20481,,,,,,
24-0255-A0001,PART: FY 2021 WY Public Sector Folklore Position,8000,,,,,,
23-0617-A0001,SUS-UW Center: Nordic Ski Educational Coaching Program,94890.16,,,,,,
23-1288-A0001,Red Desert to Hoback Mule Deer Migration 2 - FY23 (MDF),10000,,,,,,
23-0126-A0001,Development of FHIRE: The Fiber High Resolution Echelle Spectrograph,175000,,,,,,
24-0353-A0002,Data Exchange,80000,80000,68085.1,68085.1,11914.9,11914.9,102817.35
23-0966-A0001-0,Generation of Rare Earth Metals from the Rare Earth Oxides Using Microwave Plasmas,350000,,,,,,
23-0966-A0001-1,Generation of Rare Earth Metals from the Rare Earth Oxides Using Microwave Plasmas,350000,,,,,,
23-1165-A0003,Western SARE Professional Development Program Administrative Subaward,348128,348128,316480,316480,31648,31648,348128
24-0087-A0001,BLM:  CESU Master Cooperative Agreement,0,0,0,0,0,0,0
23-0750-A0001,Wyoming IDeA Networks for Biomedical Research Excellence Phase 4 (INBRE 4) - Year 2,3668046,,,,,,
24-0565-A0001,FY24 5339 Capital Assistance: Shop Equipment,72722,72722,72722,72722,0,0,90902
24-0254-A0001,A Robust and Cost-Effective Pressure Measurement System for Advanced Unsteady Aerodynamic Applications,108000,,,,,,
23-1360-A0001,Wyoming Conservation Corps 2022-2023,293819,,,,,,
23-0514-A0001-0,Program Development Collaborations with the University of Wyoming,419044.23,,,,,,
23-0514-A0001-1,Program Development Collaborations with the University of Wyoming,419044.23,419044.23,312719.57,,,106324.66,419044.23
23-0514-A0001-2,Program Development Collaborations with the University of Wyoming,419044.23,419044.23,312719.57,,,106324.66,419044.23
23-0514-A0001-3,Program Development Collaborations with the University of Wyoming,389316.23,389316.23,290534.5,,,98781.73,389316.23
23-0514-A0001-4,Program Development Collaborations with the University of Wyoming,419044.23,419044.23,312719.57,,,106324.66,419044.23
23-0514-A0001-5,Program Development Collaborations with the University of Wyoming,404044.23,404044.23,301525.54,,,102518.69,404044.23
24-0791-A0001,Collaborative Research: The role of functional traits in population and community synchrony,346098,346098,239514,239514,106584,106584,346098
24-0155-A0002-0,Risk-based Guideline of Blow-over Warning Sign for High-Profile Light-Weight Vehicle for WYDOT Traveler Information System,62500,62500,52084,52084,10416,10416,62500
24-0155-A0002-1,Risk-based Guideline of Blow-over Warning Sign for High-Profile Light-Weight Vehicle for WYDOT Traveler Information System,127500,127500,106250,106250,21250,21250,127500
24-0498-A0001,Understanding dynamics of brain network in TDP-43 related neurodegeneration,11939,23878,8262,16524,7354,3677,23878
23-0821-A0001,Wyoming Business Resource Network Funding 2021-2022,1993048,,,,,,
24-0458-A0001-0,Renewable Resources Extension Act Program,19159,19159,19159,19159,0,0,47897
24-0458-A0001-1,Renewable Resources Extension Act Program,47736,47736,47736,47736,0,0,47897
24-0458-A0001-2,Renewable Resources Extension Act Program,47736,47736,47736,47736,0,0,47897
24-0458-A0001-3,Renewable Resources Extension Act Program,47736,47736,47736,47736,0,0,47897
24-0458-A0001-4,Renewable Resources Extension Act Program,47736,47736,47736,47736,0,0,47897
24-0198-A0001,Bacterial Mechanisms for Establishing and Maintaining Cell Polarity,820989.03,,,,,,
23-0263-A0001,Sediment and Fisheries: An Assessment to Inform Sediment Management Practices at Wyoming Dams,350511,,,,,,
24-0091-A0001-0,"University Centers for Excellence in Developmental Disabilities Education, Research and Service",770313,770313,535861,535861,234452,234452,962891
24-0091-A0001-1,"University Centers for Excellence in Developmental Disabilities Education, Research and Service",1184065,1184065,1098518,1098518,85547,85547,1578753
24-0091-A0001-2,"University Centers for Excellence in Developmental Disabilities Education, Research and Service",1184065,1184065,1098518,1098518,85547,85547,1578753
24-0091-A0001-3,"University Centers for Excellence in Developmental Disabilities Education, Research and Service",1804740,1804740,1674458,1674458,130282,130282,2406320
23-1118-A0001-0,Wyoming NASA EPSCoR Research Infrastructure Development (RID) Proposal: 2022-2027,400000,,,,,,
23-1118-A0001-1,Wyoming NASA EPSCoR Research Infrastructure Development (RID) Proposal: 2022-2027,1000000,,692041,,,307959,
24-0811-A0001,USFS Black Hills Land Snails,9523.38,9523.38,8105,8105,1418.38,1418.38,12356.4
23-0025-A0001,Analysis of the Socioeconomic Conditions in Wyoming Counties,74250,,,,,,
23-0464-A0001-0,Wyoming Maternal Mortality Review Committee Abstractor,44754.44,,,,,,
23-0464-A0001-1,Wyoming Maternal Mortality Review Committee Abstractor,54754.44,54754.44,54754.44,54754.44,0,0,54754.44
23-0571-A0001,"Collaborative Research: Experiment of Sea Breeze Convection, Aerosols, Precipitation and Environment (ESCAPE)",367810,,,,,,
25-0403-A0001,WYSEO-Internships,32588.14,32588.14,27156.78,27156.78,5431.36,5431.36,32588.14
23-0153-A0001,Effects of Direct Fed Microbials on Weaned Calf Performance,12867,,,,,,
23-1622-A0001-0,Evaluation of 2023 ND SPF PFS,68340,200000,51000,124749,75251,17340,200000
23-1622-A0001-1,Evaluation of 2023 ND SPF PFS,200000,200000,124749,124749,75251,75251,200000
23-1622-A0001-2,Evaluation of 2023 ND SPF PFS,400000,200000,249498,124749,75251,150502,400000
23-0896-A0001,Uinta Mule Deer MIgration Roadway Interaction Study,10000,,,,,,
23-1542-A0001,Using MRI to Facilitate Precision Medicine for Infants with Cleft Palate,183817,531091,132844,375000,20473,50973,531090
23-0649-A0001,Advancing Conservation in Wyoming through Natural Wealth Accounting,280000,,,,,,
23-0614-A0001-0,"Noncommutative Distributions and Limit Theorems in Free Probability, and their Applications",42000,,,,,,
23-0614-A0001-1,"Noncommutative Distributions and Limit Theorems in Free Probability, and their Applications",42000,,36400,,,5600,42000
23-0614-A0001-2,"Noncommutative Distributions and Limit Theorems in Free Probability, and their Applications",42000,,36400,,,5600,42000
24-0140-A0001-0,Assessing effectiveness of big-game migration-friendly fence designs,11000,199801,10000,100068,16850,1000,199801
24-0140-A0001-1,Assessing effectiveness of big-game migration-friendly fence designs,199647,199647,199647,199647,0,0,199647
23-0610-A0001,"Establishing an Early CO2 Storage Complex in Kemper County, Mississippi: Project ECO2S (Phase III)",64759,,,,,,
23-0361-A0001,Protecting Alfalfa Yield from Weevil Damage in the Intermountain West Region - Wyoming Field Sites,6965.4,,,,,,
24-0558-A0001,"Methods, Systems, and Devices for Magnetocatalytic Process Intensification",,,,,,,1752847
24-0868-A0001-0,Floristic Inventory of the Kootenai National Forest,25000,25000,21276.6,21276.6,2723.4,3723.4,41972.61
24-0868-A0001-1,Floristic Inventory of the Kootenai National Forest,25000,25000,21276.6,21276.6,2723.4,3723.4,41972.61
23-1687-A0001,Development of curriculum with accompanying media related to opioid overdose prevention with the general population in Arkansas,27434,27434,24940,24691,2473,2494,27434
23-1216-A0001,Pore-scale Investigation of Wetting-phase Imbibition in Three-dimensional Disordered Porous Media (A Digital Rock Technology Approach),669343.65,,,,,,
24-0379-A0001,Climate resilience across prairie landscapes,22724,25040,20592,22605.5,2434.5,2132,25040
23-1033-A0001,"Animal Health and Disease Research Capacity, FY22",21105,,,,,,
23-0534-A0001,Evaluating the benefit of multiple migratory tactics in the world's longest migrating mule deer herd,50000,,,,,,
24-0558-A0002,"Methods, Systems, and Devices for Magnetocatalytic Process Intensification",1052099,1753498,859765,1432492,320355,192334,1753498
25-0334-A0001,A DYI Manual for the Fabrication and Assembly of Semi-Permanent Geodesic Dome Greenhouses for use in Specialty Crop Production,,,,,,,68134.31
23-0503-A0001-0,Evaluation of factors impacting Kokanee Salmon in New Forks Lakes,185187,,,,,,
23-0503-A0001-1,Evaluation of factors impacting Kokanee Salmon in New Forks Lakes,185187,185187,185187,185187,0,0,185187
24-0327-A0001-0,Terra Power Purchase Order TP-PO-004442,150000,150000,107071.12,107071.12,42928.88,42928.88,150000
24-0327-A0001-1,Terra Power Purchase Order TP-PO-004442,150000,150000,107071.12,107071.12,42928.88,42928.88,150000
23-0786-A0001,"The economic impact of the new Pilot Hill recreational land purchase and development in Albany County, WY",24808,,,,,,
24-0092-A0001-0,"The role of CO2 conversion in the clean energy transition: social, economic, and technological opportunities and challenges",1000000,1000000,842344,842344,157656,157656,1000000
24-0092-A0001-1,"The role of CO2 conversion in the clean energy transition: social, economic, and technological opportunities and challenges",1000000,1000000,842344,842344,157656,157656,1000000
24-0092-A0001-2,"The role of CO2 conversion in the clean energy transition: social, economic, and technological opportunities and challenges",1000000,1000000,842344,842344,157656,157656,1000000
23-0084-A0001,Archeological Repository Graduate Assistantship,60804.24,,,,,,
23-0481-A0001,"Providing Risk Management Education on Crop Insurance Products and Risk in Agriculture to Underserved Beginning, Veteran, Retiring/Transition, and Other Socially Disadvantaged Farmers/Ranchers in Wyoming 2020-2021",60000,,,,,,
23-1853-A0001-0,Mule Deer and CWD - Role of Predation and Vertical Transmission ,5000,5000,5000,5000,0,0,5000
23-1853-A0001-1,Mule Deer and CWD - Role of Predation and Vertical Transmission ,5000,5000,5000,5000,0,0,5000
23-1615-A0001-0,"Development, validation, and implementation of diagnostic tests for SARS-CoV-2 and other pathogenic microorganisms of wildlife",6276250,6276250,5705681.82,5705681.82,570568.18,570568.18,6276250
23-1615-A0001-1,"Development, validation, and implementation of diagnostic tests for SARS-CoV-2 and other pathogenic microorganisms of wildlife",6276250,6276250,5705681.82,5705681.82,570568.18,570568.18,6276250
23-1526-A0006,Wyoming IDeA Networks for Biomedical Research Excellence,779559,779559,558396,558396,221163,221163,779559
24-1016-A0001,Brush Creek Ski Trail Maintenance and Fuels Reduction,60000,60000,57143,57143,2857,2857,60000
23-0985-A0001,Wyoming's People and Energy,20000,,,,,,
23-1323-A0001,Exhibits to Communicate the Cultural and Artistic Role of Elk on the Wind River Indian Reservation,8900,,,,,,
23-1314-A0001-0,Distribution Models for Wyoming's Amphibian and Reptile Species of Greatest Conservation Need,18938,,,,,,
23-1314-A0001-1,Distribution Models for Wyoming's Amphibian and Reptile Species of Greatest Conservation Need,18938,,,,,,
23-1151-A0001,"Beaver, Diversity, and Connectivity Relationships",500,,,,,,
24-0131-A0001-0,Ecology of Colorado Bobcats,60000,60000,60000,60000,0,0,60000
24-0131-A0001-1,Ecology of Colorado Bobcats,60000,60000,60000,60000,0,0,60000
23-0779-A0001,WY UWE Vaccine Up,23676.09,,,,,,
23-0532-A0001,"Documenting Mule Deer Movements, Season Ranges and Habitat Use in the Bighorn Mountains",85000,,,,,,
23-0528-A0001,Investigating the role of periodic gene flow in admixture and diversification,8000,,,,,,
24-0270-A0001,"An Instrumental Platform for Identifying, Collecting, and Analyzing Particles with Micron and Submicron Dimensions",31218.21,,,,,,
23-0478-A0001-0,Carbon Utilization and Storage Partnership (CUSP) for the Western USA,200000,,,,,,
23-0478-A0001-1,Carbon Utilization and Storage Partnership (CUSP) for the Western USA,200000,200000,138408,138408,61592,61592,200000
23-0478-A0001-2,Carbon Utilization and Storage Partnership (CUSP) for the Western USA,200000,200000,138408,138408,61592,61592,200000
23-0478-A0001-3,Carbon Utilization and Storage Partnership (CUSP) for the Western USA,240000,240000,161608,138408,61592,79392,240000
23-1011-A0001,Meaningful Inclusion of Intellectual & Developmental Disabilities in PCOR & CER: A Rural  Approach to Health Outcomes,249929,,,,,,
23-0595-A0001,Mule Deer and CWD - role of predation and vertical transmission 2020,2000,,,,,,
23-1237-A0001-0,Collaborative Research: Microscopic Mechanism of Surface Oxide Formation in Multi-Principal Element Alloys,278419,,,,,,
23-1237-A0001-1,Collaborative Research: Microscopic Mechanism of Surface Oxide Formation in Multi-Principal Element Alloys,386006,386006,320772,320772,65234,65234,386006
23-0031-A0001,Statistical Support for Inventory and Monitoring Projects,105741.66,,,,,,
23-0298-A0001,Ecosystem Response and Recovery Following Severe Bark Beetle and Wildfire - Beaver Creek Fire,45000,,,,,,
23-1423-A0001-0,Mission Execution and Strategic Analysis Support FY23,36916.04,,,,,,
23-1423-A0001-1,Mission Execution and Strategic Analysis Support FY23,36916.04,36916.04,28737.25,,,8178.79,36916.04
23-1106-A0001,Wyoming 4-H - Warren Air Force Base 4-H Military Partnership Outreach and Support Project Grant,6500,,,,,,
23-1027-A0001-0,University of Wyoming Extension Smith-Lever 3(b) & 3(c) FY2022,1770791,,,,,,
23-1027-A0001-1,University of Wyoming Extension Smith-Lever 3(b) & 3(c) FY2022,1770791,1770791,1770791,,,0,
24-0450-A0001-0,University of Wyoming Expanded Food and Nutrition Education Program (EFNEP),111556,111556,111556,111556,0,0,111556
24-0450-A0001-1,University of Wyoming Expanded Food and Nutrition Education Program (EFNEP),278891,278891,278891,278891,0,0,278891
24-0271-A0001,The Healthy Kids Round Up: A Wyoming Partnership.,10000,,,,,,
23-0307-A0001-0,Documenting Arapaho Place Names with Virtual Reality Elicitation Using 3D 360 and Aerial Drone Video,381529,,,,,,
23-0307-A0001-1,Documenting Arapaho Place Names with Virtual Reality Elicitation Using 3D 360 and Aerial Drone Video,381529,,,,,,
25-0422-A0001,Digitization of the Wyoming Folklife Archive,10000,10000,10000,10000,0,0,10000
23-0805-A0001-0,"Mule Deer, Mountain Lions, and Chronic Wasting Disease - Advancing the Understanding of Transmission Dynamics and the Role of Predation",141000,,,,,,
23-0805-A0001-1,"Mule Deer, Mountain Lions, and Chronic Wasting Disease - Advancing the Understanding of Transmission Dynamics and the Role of Predation",171000,171000,171000,171000,0,0,171000
23-0805-A0001-2,"Mule Deer, Mountain Lions, and Chronic Wasting Disease - Advancing the Understanding of Transmission Dynamics and the Role of Predation",171000,171000,171000,171000,0,0,171000
23-1963-A0001-0,2023 State Justice Statistics,224316,224316,167400,167400,56916,56916,224316
23-1963-A0001-1,2023 State Justice Statistics,224316,224316,167400,167400,56916,56916,224316
23-1367-A0001,Clinical and Translational Research Infrastructure Network (MW-CTR-IN) Year 9,188615,,,,,,
23-0143-A0001,Weed Science Research and Development,4000,,,,,,
24-0090-A0001-0,2024 Title III-D for Evidence-Based Program Delivery,50000,50000,50000,50000,0,0,50000
24-0090-A0001-1,2024 Title III-D for Evidence-Based Program Delivery,50000,50000,50000,50000,0,0,50000
23-1252-A0001-0,Animal rabies surveillance in the State of Wyoming,20000,,,,,,
23-1252-A0001-1,Animal rabies surveillance in the State of Wyoming,20000,,,,,,
23-0460-A0001-0,Transporting Planet-Forming Material Over the Protoplanetary Disk Lifetime,231164,,,,,,
23-0460-A0001-1,Transporting Planet-Forming Material Over the Protoplanetary Disk Lifetime,231164,231164,169289,169289,61875,61875,
23-0460-A0001-2,Transporting Planet-Forming Material Over the Protoplanetary Disk Lifetime,231164,231164,169289,169289,61875,61875,
24-1055-A0001,  WESTERN REGIONAL AGRICULTURAL STRESS ASSISTANCE PROGRAM (WRASAP),49787,49787,42229,42229,7558,7558,49787
23-0949-A0001-0,Natural Diversity Data Exchange and future collaboration and project development for species conservation,20000,,,,,,
23-0949-A0001-1,Natural Diversity Data Exchange and future collaboration and project development for species conservation,20000,,17021.28,,,2978.72,40000
23-0949-A0001-2,Natural Diversity Data Exchange and future collaboration and project development for species conservation,65000,65000,55319.16,55319.16,9680.84,9680.84,40000
24-0185-A0001,Wyoming Deaf-Blind Equipment Distribution Program,185835.3,,,,,,
23-1091-A0001-0,Graduate Research Fellowship Program (GRFP) 2021-2026,690000,,,,,,
23-1091-A0001-1,Graduate Research Fellowship Program (GRFP) 2021-2026,690000,368000,354890,,0,0,1044890
23-1091-A0001-2,Graduate Research Fellowship Program (GRFP) 2021-2026,1044890,1044890,354890,,0,0,1044890
23-1091-A0001-3,Graduate Research Fellowship Program (GRFP) 2021-2026,1159167,1159167,1159167,1159167,0,0,1044890
23-1371-A0001,Crotalaria juncea (sunn hemp) germplasm performance under semi-arid and humid-continental climates (KMB Seeds funding),3840,,,,,,
23-0212-A0001,Upward Bound Math/Science PY 2018,1375735,,,,,,
23-1365-A0001,Wyoming SBDC Network Procurement Technical Assistance Center 2022-23,209672,,,,,,
24-0214-A0001,University of Wyoming Extension Programs: Smith Lever Special Needs,43951,,,,,,
23-1827-A0001-0,Creating the framework for the next generation Energy Exascale Earth System Model (E3SM) at PROCEED (Perturbed physics ensemble Regression Optimization Center for ESM Evaluation and Development),998587,998587,742037,742037,256550,256550,998587
23-1827-A0001-1,Creating the framework for the next generation Energy Exascale Earth System Model (E3SM) at PROCEED (Perturbed physics ensemble Regression Optimization Center for ESM Evaluation and Development),998587,998587,742037,742037,256550,256550,998587
23-1827-A0001-2,Creating the framework for the next generation Energy Exascale Earth System Model (E3SM) at PROCEED (Perturbed physics ensemble Regression Optimization Center for ESM Evaluation and Development),998587,998587,742037,742037,256550,256550,998587
23-1585-A0001-0,Wyoming Community Foundation General Competitive Grant,5000,5000,4545,4545,454,455,5000
23-1585-A0001-1,Wyoming Community Foundation General Competitive Grant,5000,5000,4545,4545,454,455,5000
24-0531-A0002,Polyploid evolution and phylogeography of North American Arctic and alpine Salix,1200,1200,1200,1200,0,0,1200
23-1066-A0001-0,Next Steps Assessment Clinic for the Wyoming Department of Education Wyoming Project for Children and Youth Who are Deaf-Blind,9800,,,,,,
23-1066-A0001-1,Next Steps Assessment Clinic for the Wyoming Department of Education Wyoming Project for Children and Youth Who are Deaf-Blind,9800,9800,8167,8167,1633,1633,9800
23-0253-A0001,Raspberry Variety Trial,12988.79,,,,,,
24-0983-A0001,RWO216: Drought,77681,216000,69100.87,,,8580.13,77681
23-0827-A0001,Missing and Murdered Indigenous Persons Ongoing Data Support,31257,,,,,,
23-1322-A0001,Updated tools to Calculate Migration Footprints,20000,,,,,,
25-0376-A0001,Agronomic Product Evaluation,7350,7350,6982.5,6982.5,367.5,367.5,7350
23-1380-A0001-0,Statewide Habitat Plan Data Integration,20366,,,,,,
23-1380-A0001-1,Statewide Habitat Plan Data Integration,20366,,,,,,
23-0243-A0001,Evaluating Tolerance of Key Forb and Shrub Species to New Herbicides and Mixtures,16000,,,,,,
23-0132-A0001,NASA EPSCoR: Igniting a New Era of Planet Discovery with FHiRE: A Precision Spectrograph at the WIRO Telescope,749938,,,,,,
24-1058-A0001,FY2024 Nonparticipating States,570000,570000,449300,449300,120700,120700,569659
24-0606-A0001,FrostyFlake | AFWERX STTR Phase I | Computer Vision AI Architecture Review & Enhancement,22500,22500,15571,15571,6929,6929,22500
24-0566-A0001-0,FY24 Capital Assistance: Four (4) Cutaway Buses,408000,408000,408000,408000,0,0,480000
24-0566-A0001-1,FY24 Capital Assistance: Four (4) Cutaway Buses,510110,510000,510110,510000,0,0,480000
23-0446-A0001,Hazardous Materials Commodity Flow Study 2019-2021,96000,,,,,,
24-0250-A0001,CPB CARES Stabilization Funds,112136,,,,,,
24-0147-A0001-0,Educational Opportunity Centers - 2 (EOC-2),547586,1368965,508217,1269910,99055,39369,1368965
24-0147-A0001-1,Educational Opportunity Centers - 2 (EOC-2),832331,1368965,772182,1269910,99055,60149,1368965
24-0147-A0001-1,Educational Opportunity Centers - 2 (EOC-2),832331,1368965,772182,1269910,99055,60149,1368965
24-0772-A0001,Sweetwater Rocks-WGBGLC 2024,35000,35000,35000,35000,0,0,35000
24-1017-A0001,"Archaeological Survey of the Trident Plateau, Two Ocean Plateau, and in the Absaroka Range, Yellowstone National Park.",158271.98,158271.98,134699.57,134699.57,23572.41,23572.41,158271.98
23-1712-A0002,"Dry bean response to cover crops, nitrogen, and water",24450,24450,24450,24450,0,0,24450
25-0263-A0001,The role of stock ponds in the persistence of amphibians in Thunder Basin National Grassland  ,,,,,,,148757
23-0202-A0001,"Combining Project-based Learning, Citizen Science, and Authentic Research to Enhance the Success of STEM and STEM Education Majors",674988.28,,,,,,
24-0631-A0001-0,Wyoming Geriatric Workforce Enhancement Program,1000000,1000000,936828,936828,63172,63172,5000000
24-0631-A0001-1,Wyoming Geriatric Workforce Enhancement Program,1001742,1001742,938570,938570,63172,63172,5000000
24-1020-A0001,WY Water Research Program,397514,397514,397514,397514,0,0,773706
23-0295-A0001,Growing and Marketing Ancient Grains in Wyoming,49758.16,,,,,,
24-0033-A0001-0,TNC Siebert Pivot - SCG-UW,28380,28380,24678,24678,3702,3702,28380
24-0033-A0001-1,TNC Siebert Pivot - SCG-UW,92490,92490,86002,86002,6488,6488,92490
24-0033-A0001-2,TNC Siebert Pivot - SCG-UW,92490,92490,86002,86002,6488,6488,92490
24-0554-A0001,Integration of Produced Water Thermal Desalination and Steam Methane Reforming for Efficient Hydrogen Production,,,,,,,6600000
23-1564-A0001-0,Investigating bats in the Black Hills of South Dakota,75844.37,75844.37,64548.4,64548.4,11295.97,11295.97,93272.44
23-1564-A0001-1,Investigating bats in the Black Hills of South Dakota,143855.03,143855.03,122429.81,122429.81,21425.22,21425.22,143855.03
23-1568-A0001,Snow Water Supply Forecasting,15000,44999.59,12765.97,38297.52,6702.07,2234.03,45000
24-1057-A0001,Developing a Prototype System for Measuring Intersection Sight Distances,186048,186048,155040,155040,31008,31008,276617
24-0257-A0001-0,2020 Wyoming State Justice Statistics Award,188869.5,,,,,,
24-0257-A0001-1,2020 Wyoming State Justice Statistics Award,188869.5,,,,,,
24-0257-A0001-2,2020 Wyoming State Justice Statistics Award,208020,208020,156364,156364,51656,51656,208020
23-0879-A0001,Educational Opportunity Center-2 (EOC-2) 2021-2022,547586,,,,,,
23-0569-A0002,Wyoming CarbonSAFE: Accelerating CCUS Commercialization and Deployment at Dry Fork Power Station and the Wyoming Integrated Test Center,375000,375000,259516,,,115484,375000
24-0335-A0001-0,National Forest Foundation Disaster Relief,165687.5,165687.5,157797.62,157797.62,7889.88,7889.88,165687.5
24-0335-A0001-1,National Forest Foundation Disaster Relief,165687.5,165687.5,165687.5,165687.5,0,0,213736.88
24-0335-A0001-2,National Forest Foundation Disaster Relief,182687.5,182687.5,182687.5,182687.5,0,0,213736.88
24-0687-A0001,University of Wyoming Extension Implementation Team Proposal ,126309,126309,126309,126309,0,0,126309
23-1442-A0001,Noxious Weed Management in Rangelands,18900,,,,,,
23-0462-A0001,Hatch Regular Capacity 2019-2021,1358219,,,,,,
23-1224-A0001,The Impact of Elder Abuse on Mental Health: The Role of Social Support,2000,,,,,,
23-1277-A0001,ExpandQISE: Track 2: Developing Research and Education Programs in Quantum Information Science and Engineering with Research on Locally Tunable 2D Topological Superconductors,5000000,,,,,,
23-0612-A0001,"Post-Doctoral Research for Prehistoric Archaeological Context for the Wyoming Military at Camp Guernsey Joint Training Center, Wyoming",95104.8,,,,,,
24-0229-A0001,Wyoming Sensory Biology COBRE - Administrative Core Year 3,2191409.8,,,,,,
23-1160-A0001,Red Desert Mule Deer Migrations (WGBGLC 2020),2000,,,,,,
24-0808-A0001,Red Desert to Hoback Mule Deer Migrations - 10 Country Chapter,13438,13438,13438,13438,0,0,26876
23-0811-A0001,Federal Work Study Program 2021-2022,502688,,,,,,
23-0618-A0006-0,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,1744683.69,1744683.69,1302003,1302003,442681,442681,1744684
23-0618-A0006-1,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,572964.31,1744683.69,427585.31,1302003,442681,145379,1744684
24-0596-A0001-0,Predicting impacts of species loss on ecosystem resilience: an experimental test of a novel theoretical framework ,40000,40000,34043,34043,5957,5957,1380855
24-0596-A0001-1,Predicting impacts of species loss on ecosystem resilience: an experimental test of a novel theoretical framework ,140000,140000,119149,119149,20581,20851,1380855
24-0596-A0001-2,Predicting impacts of species loss on ecosystem resilience: an experimental test of a novel theoretical framework ,456936,456936,388882,388882,68054,68054,1380855
24-0174-A0001-0,Paraphilic Disorders: Influence of Expert Testimony on Lay Perceptions of Diminished Capacity,1500,1500,1500,,,0,
24-0174-A0001-1,Paraphilic Disorders: Influence of Expert Testimony on Lay Perceptions of Diminished Capacity,1500,1500,1500,,,0,1500
23-1592-A0001,Near-infrared light controlled transplanted cells to treat spinal cord injury,180625,397375,125000,275000,122375,55625,397375
23-0192-A0001-0,LCCC Financial Contribution for Transit Service,50000,,,,,,
23-0192-A0001-1,LCCC Financial Contribution for Transit Service,75000,75000,75000,75000,0,0,75000
23-1318-A0001,Mowry Project Interagency Agreement,500000,,,,,,
23-1517-A0001,"Development, Evaluation, and Testing of Functional Riblet Fabrication Approaches",20000,20000,15386,15386,4614,4614,20000
23-0912-A0001,RT-QuiIC for CWD in Wyoming Cervids,11800,,,,,,
24-0708-A0001,LEAPS-MPS: Microwave Spectroscopy of Engineered Triplet Superconductors,249889,249889,192675,192675,57214,57214,249889
24-0263-A0001,Economic Impact Analysis,7402.4,,,,,,
