"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Transfer","Under Review","Approved","Total_submitted_to_sponsor"
"24-0238-P0001","Statewide Crayfish Survey",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"24-0238","8/18/2023 02:47:27 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","8/18/2023 02:47:27 PM > 8/18/2023 02:47:30 PM","Status set by bulk loader",NA,"f199baff-995c-420a-bcfe-ee9389cbcda1","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"240238A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0886-P0001","Statewide Elk CWD Genetic Susceptibility and Disease Ecology",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0886","4/27/2023 07:26:31 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:26:30 PM > 4/27/2023 07:26:33 PM","Status set by bulk loader",NA,"4b58ba45-ef4f-4f54-97e9-e7f94b463fdc","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230886A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0996-P0001","Statewide Habitat Plan Application Stewardship","Shannon E. Albeke","Wyoming Geographic Information Science Center","Funded","Wyoming Game and Fish Department",NA,"Wyoming Geographic Information Science Center","7/1/2024","12/31/2029","New","24-0996","5/2/2024 11:54:30 AM","7610","6/30/2024 12:00:00 AM",NA,NA,"Statewide Habitat Plan Application Stewardship","Proposal Created > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded","Jalynda Mary Mckay > Thomas Abraham Lentner > Shannon E. Albeke > Farrell Jean Rapp","5/2/2024 11:54:30 AM > 5/2/2024 02:53:10 PM > 5/6/2024 08:26:55 AM > 5/6/2024 08:27:05 AM > 5/6/2024 09:19:39 AM > 6/12/2024 03:51:51 PM > 6/17/2024 09:44:57 AM > 6/24/2024 01:00:48 PM > 6/24/2024 01:01:04 PM > 7/8/2024 02:31:40 PM","Moving to update RoamWyo Fields
 > Unsolicited. Agreement under review. > Agreement under review. > Funded.",NA,"27400c4e-99ac-4391-878b-bff6e64a2d9c",NA,"State contract - not tied to solicitation.  PE agreement in attachments.  Passes pre-award checks.","6/12/2024 03:50:57 PM > 6/12/2024 03:51:51 PM > 6/17/2024 08:52:40 AM > 6/13/2024 08:29:45 AM > 6/13/2024 08:29:38 AM > 6/17/2024 09:44:57 AM","Approved > Certified",NA,"6342","1268","7610",NA,"Yes",2024-06-24 13:00:48,"2024-07-08 14:31:40","7610","6342","1268","7610","FY2024","240996A0001",7610,"20TDC","College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,0,1
"23-1380-P0001","Statewide Habitat Plan Data Integration",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1380","4/27/2023 08:01:09 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 08:01:09 PM > 4/27/2023 08:01:12 PM","Status set by bulk loader",NA,"620d4ddc-6827-4f5a-bdea-3a79236cd628","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231380A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1407-P0001","Statewide Longitudinal Education Data System (SLEDS)",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1407","4/27/2023 08:02:59 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 08:02:59 PM > 4/27/2023 08:03:02 PM","Status set by bulk loader",NA,"23fad5e3-6087-442b-b94e-ec3a06982216","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231407A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0543-P0001","Statewide Startup Incubation Services","Joshua S. Keefe","IMPACT 307","Submitted to Sponsor","Wyoming Business Council",NA,"IMPACT 307","7/1/2024","6/30/2026","Pre-proposal","24-0543","11/6/2023 11:30:30 AM","2633616","11/10/2023 12:00:00 AM",NA,NA,"WBC Statewide Startup Incubation Services","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Under Review > Unassigned from SP Proposal Administrator: John Ruess > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Closed. Resolution set to: Withdrawn > Status was changed from: Closed to In Development > Status was changed from: In Development to Submitted to Sponsor","Nicole R Nelson > Bryce William Howard > Joshua S. Keefe > Tashina Lemons > Farrell Jean Rapp","11/6/2023 11:30:29 AM > 11/6/2023 02:06:06 PM > 11/6/2023 04:05:31 PM > 11/7/2023 08:01:56 AM > 11/7/2023 08:02:02 AM > 11/7/2023 01:55:48 PM > 11/7/2023 03:08:52 PM > 11/7/2023 03:46:24 PM > 11/7/2023 03:47:02 PM > 11/7/2023 03:51:32 PM > 11/9/2023 11:35:31 AM > 11/9/2023 12:00:56 PM > 11/9/2023 12:01:14 PM > 11/9/2023 04:20:50 PM","Updates needed to budget and proposal fields. > Updates needed to budget tab
 > updates to proposal form > Updates to proposal form 
 > Submitted to sponsor",NA,"9902bb73-b44e-441d-879a-a1916b7d7f1e",NA,NA,"11/9/2023 01:46:53 PM > 11/8/2023 08:58:07 PM > 11/8/2023 08:56:21 PM > 11/7/2023 03:51:32 PM > 11/7/2023 03:48:20 PM","Cancelled > Approved > Certified > Not Yet Active",NA,"2194680","438936","2633616",NA,"Yes",2023-11-09 16:20:50,NA,"2633616","2194680","438936","2633616","FY2024","240543A0001",NA,NA,"Economic Development",0,0,0,1,0,0,0,0,0,1
"23-0858-P0001","Statewide mapping of elk, mule deer, and pronghorn winter ranges, movement corridors and stopover locations",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0858","4/27/2023 07:24:31 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:24:30 PM > 4/27/2023 07:24:34 PM","Status set by bulk loader",NA,"376f7f76-ca51-4dee-afef-39585e23665e","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230858A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-1412-P0003","Statewide mapping of elk, mule deer, and pronghorn winter ranges, movement corridors and stopover locations FY23","Matthew Kauffman","Wyoming Coop Unit","Funded","Idaho Department of Fish and Game","U.S. Fish & Wildlife Service/Department of the Interior","Wyoming Coop Unit","7/1/2024","6/30/2025","New","23-1412","9/19/2024 10:36:26 AM","60894","9/27/2024 12:00:00 AM",NA,NA,"Statewide mapping of elk, mule deer, and pronghorn winter ranges, movement corridors and stopover locations","Proposal Created > Status was changed from: In Development to Under Review > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to In Development > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded","Vanessa Danielle Simoneau > Matthew Kauffman > Farrell Jean Rapp > Thomas Abraham Lentner","9/19/2024 10:36:25 AM > 9/19/2024 01:02:43 PM > 10/16/2024 02:25:00 PM > 11/19/2024 12:58:30 PM > 11/19/2024 02:19:04 PM > 11/19/2024 02:19:53 PM > 11/19/2024 04:08:32 PM > 11/20/2024 08:40:39 AM > 11/21/2024 11:18:11 AM > 11/21/2024 11:18:38 AM > 1/29/2025 12:07:30 PM","Submitted by PI.  Post award review > Award shell created on 11/21/2024 > Funded.",NA,"1b896fbc-c98f-4d94-8c88-b42975800ed4",NA,"Please re-route for review and approval due to the inclusion of unrecovered indirect costs as cost share to this project. > Passes pre-award checks.  IDC limited by sponsor policy. > Approving on behalf of Pre-Award due to the re-routing to capture the cost share addition. > Indirect Cost rate is reduced by the Sponsor to meet the matching requirements. Cost Share has been approved through the re-routing of this proposal.","11/19/2024 02:19:04 PM > 10/16/2024 02:37:18 PM > 10/16/2024 02:25:16 PM > 10/16/2024 02:25:00 PM > 10/16/2024 01:38:37 PM > 11/19/2024 02:20:24 PM > 11/19/2024 04:08:32 PM > 11/20/2024 06:45:51 AM > 11/19/2024 04:09:57 PM > 11/20/2024 08:40:40 AM","Declined > Approved > Certified","18021.79","54613","6281","78915.79","A Subrecipient","No",2024-11-21 11:18:11,"2025-01-29 12:07:30","60894","54613","6281","78915.79","FY2025","231412A0003",61859.61,"115TDC","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,0,1
"23-0979-P0001","Statewide telehealth network services and operational support for Wyoming Department of Health, Public Health Division",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0979","4/27/2023 07:32:50 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:32:50 PM > 4/27/2023 07:32:53 PM","Status set by bulk loader",NA,"1303dbe3-af48-41b4-8ff3-6638c6dbbd21","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230979A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0056-P0001","Statistical Analysis of Diversity and Inclusion Data NH Courts (Project 2)","Emily A. Grant","Wyoming Survey & Analysis Center","Submitted to Sponsor","ADD NEW",NA,"Wyoming Survey & Analysis Center","8/1/2023","6/30/2024","New","24-0056","7/17/2023 09:32:56 AM","85559.58","7/21/2023 12:00:00 AM",NA,"New Hampshire Judicial Branch","Statistical Analysis of Diversity and Inclusion Data NH Courts (Project 2)","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Laurel Wimbish > Tashina Lemons > Emily Grant > Farrell Jean Rapp","7/17/2023 09:32:56 AM > 7/17/2023 11:18:21 AM > 7/20/2023 10:04:59 AM > 7/20/2023 03:25:36 PM > 7/21/2023 08:49:13 AM > 7/26/2023 09:55:09 AM > 1/2/2025 11:59:07 AM","Proposal has been submitted to sponsor 7/21/23 > Assuming not funded, as it’s been over 12 months since submission with no updates.",NA,"62e0a380-b389-48eb-83ef-d418b7a50dbc","Not Funded","Approve. > approve","7/21/2023 08:49:13 AM > 7/20/2023 03:43:10 PM > 7/20/2023 03:26:35 PM > 7/20/2023 03:26:19 PM > 7/20/2023 03:25:36 PM > 7/20/2023 10:39:53 AM > 7/20/2023 10:10:37 AM","Approved > Certified",NA,"63850.43","21709.15","85559.58",NA,"Yes",NA,NA,"85559.58","63850.43","21709.15","85559.58",NA,"240056A0001",NA,NA,"Research",0,0,0,1,0,0,0,0,0,1
"24-0018-P0001","Statistical Analysis of Domestic Violence and Diversity & Inclusion Data in NH Court System","Laurel Allison Wimbish","Wyoming Survey & Analysis Center","Funded","ADD NEW",NA,"Wyoming Survey & Analysis Center","8/1/2023","6/30/2024","New","24-0018","7/10/2023 10:42:58 AM","81395.17","7/21/2023 12:00:00 AM",NA,"New Hampshire Judicial Branch","Statistical Analysis of Domestic Violence Data in NH Court System","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded","Laurel Wimbish > Tashina Lemons > Farrell Jean Rapp","7/10/2023 10:42:58 AM > 7/10/2023 11:11:56 AM > 7/19/2023 01:42:01 PM > 7/20/2023 09:19:49 AM > 7/20/2023 09:54:42 AM > 7/26/2023 10:16:28 AM > 10/26/2023 11:50:54 AM > 2/6/2024 12:40:50 PM","Submitted to sponsor 7/21/23 > Conditional Award Notification Letter received 10/26/23, please see attachment tab. > Funded.",NA,"eca28de3-3333-42fd-b9fc-78e8204d2dc2",NA,NA,"7/20/2023 09:54:43 AM > 7/20/2023 09:32:56 AM > 7/20/2023 09:32:28 AM > 7/20/2023 09:32:19 AM > 7/20/2023 09:19:49 AM > 7/20/2023 09:18:59 AM","Approved > Certified",NA,"60742.66","20652.51","81395.17",NA,"Yes",2023-07-26 10:16:28,"2024-02-06 12:40:50","81395.17","60742.66","20652.51","81395.17","FY2024","240018A0001",130000,"34MTDC1","Research",0,1,0,0,0,0,0,0,0,1
"23-0031-P0001","Statistical Support for Inventory and Monitoring Projects",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0031","4/27/2023 06:25:20 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:25:20 PM > 4/27/2023 06:25:23 PM","Status set by bulk loader",NA,"e3d1cf80-f7aa-4262-a629-6bddeb8ec35d","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230031A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0842-P0001","Steamboat Carbon Storage Hub","Scott Austin Quillinan","School of Energy Resources Directors Office","Submitted to Sponsor","ADD NEW","U.S. Department of Energy","School of Energy Resources Directors Office","1/1/2025","12/31/2026","New","24-0842","2/21/2024 03:27:26 PM","251234","3/11/2024 12:00:00 AM",NA,"Meriden Carbon","Steamboat Carbon Storage Hub","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Tiffany Brooke Bishop > Tashina Lemons > Thomas Abraham Lentner > Jonathan Fred McLaughlin > Scott Austin Quillinan > Farrell Jean Rapp","2/21/2024 03:27:26 PM > 2/22/2024 03:24:46 PM > 3/5/2024 03:10:24 PM > 3/5/2024 03:15:49 PM > 3/7/2024 09:11:05 AM > 3/7/2024 11:20:30 AM > 3/18/2024 09:10:26 AM","Submitted 03/11/2024 to prime applicant",NA,"d038983b-e208-451e-abf3-4337ca7f8a8d",NA,"No cost share on this subaward.  See attachments for budget and scope of work.","3/5/2024 03:11:23 PM > 3/7/2024 09:11:05 AM > 3/7/2024 09:10:56 AM > 3/5/2024 03:15:49 PM > 3/7/2024 09:11:34 AM > 3/7/2024 09:11:28 AM > 3/7/2024 09:18:30 AM > 3/7/2024 11:20:30 AM","Approved > Certified",NA,"173864","77370","251234","A Subrecipient","No",2024-03-18 09:10:26,NA,"251234","173864","77370","251234","FY2024","240842A0001",NA,NA,"School of Energy Resources",0,0,0,1,0,0,0,0,0,1
"24-0991-P0001","Stem water storage in giant cacti transforms ecohydrological processes in dryland ecosystems","David G. Williams","Botany","Submitted to Sponsor","National Science Foundation",NA,"Botany","1/1/2025","12/31/2028","New","24-0991","4/30/2024 05:21:32 PM","1543059","5/10/2024 12:00:00 AM",NA,NA,"Collaborative research: Stem water storage in giant cacti transforms ecohydrological processes in dryland ecosystems","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","David G. Williams > John Ruess > Shannon E. Albeke > Andrew David Parsekian > Felix Bredoire > Farrell Jean Rapp > Thomas Abraham Lentner","4/30/2024 05:21:32 PM > 5/1/2024 07:47:15 AM > 5/2/2024 09:47:12 AM > 5/2/2024 09:56:01 AM > 5/2/2024 09:57:21 AM > 5/2/2024 10:09:49 AM > 5/2/2024 01:33:08 PM > 5/3/2024 07:32:15 AM > 5/3/2024 04:13:06 PM > 5/3/2024 04:13:26 PM > 6/12/2024 01:49:34 PM > 12/17/2024 08:03:40 AM","edits > Submitted 05/10/2024 > Per notice from NSF.",NA,"a50a746d-fc28-4639-bdaf-24ff87c7e0a6","Not Funded","See note regarding IDC split rate","5/2/2024 09:56:25 AM > 5/3/2024 07:32:15 AM > 5/2/2024 01:33:08 PM > 5/2/2024 10:09:49 AM > 5/2/2024 09:57:21 AM > 5/3/2024 02:52:27 PM > 5/3/2024 08:07:12 AM > 5/3/2024 07:54:02 AM > 5/3/2024 07:34:22 AM > 5/3/2024 07:34:18 AM > 5/3/2024 07:34:11 AM > 5/3/2024 04:13:26 PM","Approved > Certified",NA,"1164691","378368","1543060","A collaborative proposal","No",NA,NA,"1543059","1164691","378368","1543060",NA,"240991A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,0,1
"24-0411-P0001","Stephanomeria Inventory","Bonnie L Heidel","Wyo Natural Diversity Database","Funded","National Park Service/Department of the Interior",NA,"Wyo Natural Diversity Database","1/1/2024","3/30/2026","New","24-0411","9/19/2023 07:11:35 AM","40065.15","9/27/2023 12:00:00 AM",NA,NA,"Inventory of Teton Wirelettuce (Stephanomeria fluminea) to Inform Yellow Sweetclover Management","Proposal Created > Assigned to SP Proposal Administrator: Kasi Smart > Unassigned from SP Proposal Administrator: Kasi Smart > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to In Development > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Bonnie L Heidel > Tashina Lemons > Bryce William Howard > Kasi Smart > Farrell Jean Rapp","9/19/2023 07:11:34 AM > 9/19/2023 07:55:34 AM > 9/19/2023 02:45:13 PM > 9/19/2023 02:45:50 PM > 9/26/2023 01:40:48 PM > 9/26/2023 02:25:46 PM > 9/26/2023 03:55:22 PM > 9/27/2023 11:12:49 AM > 9/27/2023 11:13:12 AM > 12/13/2023 01:29:06 PM","Changing submission date > Submitted 09/27/2023 > Funded.",NA,"373ddf18-ed31-47d5-acbb-8272a6135f44",NA,NA,"9/27/2023 11:12:57 AM > 9/26/2023 03:55:22 PM > 9/26/2023 03:04:20 PM > 9/26/2023 02:28:42 PM > 9/26/2023 02:28:36 PM > 9/26/2023 02:25:46 PM > 9/26/2023 01:43:02 PM","Cancelled > Approved > Certified > Not Yet Active",NA,"34098","5967.15","40065.15",NA,"Yes",2023-09-27 11:13:12,"2023-12-13 13:29:06","40065.15","34098","5967.15","40065.15","FY2024","240411A0001",40065.15,"175MTDC1","Research",0,1,0,0,0,0,0,0,0,1
"23-0891-P0001","Storer Wyoming Migration Initiative FY22",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0891","4/27/2023 07:26:51 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:26:51 PM > 4/27/2023 07:26:54 PM","Status set by bulk loader",NA,"9718d8ad-37b3-4499-a953-bc16b6f0acdc","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230891A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0728-P0001","Storer:  FY25 - Wyoming Now and Beyond","Christina Kuzmych","Wyoming Public Media","Closed","George B. Storer Foundation",NA,"Wyoming Public Media","7/1/2024","6/30/2025","Renewal","24-0728","1/23/2024 09:34:33 AM","44000","2/9/2024 12:00:00 AM",NA,NA,"Storer:  FY25 - Wyoming Now and Beyond Reporting Project","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Status was changed from: In Development to Closed. Resolution set to: Withdrawn","Sandra L. Roller > Tashina Lemons","1/23/2024 09:34:32 AM > 1/23/2024 10:05:48 AM > 1/26/2024 04:39:27 PM > 2/6/2024 03:30:15 PM > 2/8/2024 10:36:16 AM","Updated budget information requested. > Project already within ROAMWyo, closed out this proposal and attached to original",NA,"5622c2b5-8b64-4bd1-8105-ba79aff6c72e","Withdrawn",NA,NA,"Not Completed",NA,"40000","4000","44000",NA,"Yes",NA,NA,"44000","40000","4000","44000",NA,"240728A0001",NA,NA,"Research & Economic Development",1,0,0,0,0,0,0,0,0,0
"24-0435-P0001","Storer: FY24 - Wyoming Now and Beyond","Christina Kuzmych","Wyoming Public Media","Funded","George B. Storer Foundation",NA,"Wyoming Public Media","7/1/2023","6/30/2024","New","24-0435","9/22/2023 12:27:00 PM","35000","5/1/2023 12:00:00 AM",NA,NA,"Storer: FY24 - Wyoming Now and Beyond Reporting Project","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Sandra L. Roller > Bryce William Howard > Tashina Lemons > Christina Kuzmych > Farrell Jean Rapp","9/22/2023 12:27:00 PM > 9/22/2023 03:38:36 PM > 11/2/2023 12:57:04 PM > 11/14/2023 02:44:58 PM > 11/14/2023 02:46:10 PM > 11/14/2023 03:42:18 PM > 11/14/2023 04:08:40 PM > 11/30/2023 01:03:53 PM > 11/30/2023 02:16:52 PM > 11/30/2023 02:17:34 PM > 11/30/2023 02:22:06 PM > 12/6/2023 08:44:48 AM > 12/6/2023 08:44:57 AM > 12/6/2023 08:46:04 AM > 12/6/2023 10:54:10 AM > 12/7/2023 08:17:44 AM > 12/7/2023 08:17:59 AM","Updates to proposal > Updates to budget form > Updates to routing chain > Previously sumitted to sponsor > Project is funded, check with OSP",NA,"18268adf-231a-4aae-be88-f1bfb1ac6b9a",NA,"The documentation provided by the department for indirect costs is not acceptable. UW has received funding from this Sponsor in the past with a 10% indirect cost rate. And we have documentation that is the Sponsor's formal policy. The department needs to either revise the budget to include a 10% indirect cost rate in accordance with the Sponsor's policy or they need to request an indirect cost waiver through InfoReady review. > Legacy submission, routing in lieu of Greensheet","12/6/2023 10:54:10 AM > 12/6/2023 10:11:37 AM > 12/6/2023 10:10:37 AM > 12/6/2023 08:46:04 AM > 12/6/2023 08:45:04 AM > 11/30/2023 02:22:06 PM > 11/30/2023 02:17:42 PM > 11/14/2023 04:08:40 PM > 11/14/2023 03:47:13 PM > 11/14/2023 03:46:24 PM > 11/14/2023 03:42:18 PM > 11/14/2023 02:46:28 PM","Approved > Certified > Declined",NA,"31500","3500","35000",NA,"Yes",2023-12-07 08:17:44,"2023-12-07 08:17:59","35000","31500","3500","35000","FY2024","240435A0001",34654.24,"10MTDC1","Research & Economic Development",0,1,0,0,0,0,0,0,0,1
"23-1209-P0001","Storer: Wyoming Migration Initiative FY23",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1209","4/27/2023 07:48:41 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:48:41 PM > 4/27/2023 07:48:44 PM","Status set by bulk loader",NA,"7e2af574-ce07-43d6-86a8-87729b63c4bc","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231209A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0430-P0003","Strategic Analysis (SA) Support Services","Erin Heather Writer Phillips","School of Energy Resources Directors Office","Funded","KeyLogic Systems, Inc.",NA,"School of Energy Resources Directors Office","9/26/2024","12/31/2025","New","24-0430","9/26/2024 11:42:48 AM","206000","10/19/2024 12:00:00 AM",NA,NA,"Critical Minerals Leadership Academy (CMLA)","Proposal Created > Status was changed from: In Development to Under Review > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Farrell Jean Rapp > Thomas Abraham Lentner > Erin Heather Writer Phillips > Selena Rose Gerace > Madison Megan Mankin > Kristi Hargis Stockdale","9/26/2024 11:42:48 AM > 10/16/2024 03:07:18 PM > 10/16/2024 05:00:38 PM > 10/18/2024 11:20:46 AM > 10/18/2024 02:15:27 PM > 10/18/2024 02:40:51 PM > 10/18/2024 02:40:59 PM > 10/22/2024 09:44:23 AM > 10/29/2024 10:10:10 AM","On-going negotiations finalized 10/18/2024. > Funded.",NA,"23b8f879-e784-4bba-be4b-ff07f5856abc",NA,"Passes pre-award checks.  Ready for approval. > Great project on a critical minerals institute","10/16/2024 03:07:44 PM > 10/18/2024 02:15:27 PM > 10/18/2024 11:20:46 AM > 10/16/2024 05:00:38 PM > 10/18/2024 02:31:04 PM > 10/18/2024 02:30:54 PM > 10/18/2024 02:22:02 PM > 10/18/2024 02:40:59 PM","Approved > Certified",NA,"169654","36346","206000",NA,"Yes",2024-10-22 09:44:23,"2024-10-29 10:10:10","206000","169654","36346","206000","FY2025","240430A0003",50000,"34MTDC1","School of Energy Resources",0,1,0,0,0,0,0,0,0,1
"24-0453-P0001","Strategies and Technologies for Warning, Detection, and Prevention of Trespassing in the Vicinity of Highway-Rail Grade Crossings: State of the Practice and Research Needs","Ahmed Fathy Abdelaty Ahmed","Civil & Architectural Engineering & Construction Management","Not Submitted to Sponsor","ADD NEW",NA,"Civil & Architectural Engineering & Construction Management",NA,NA,"New","24-0453","9/28/2023 05:30:07 PM",NA,"10/18/2023 12:00:00 AM",NA,"Transportation Research Board","Strategies and Technologies for Warning, Detection, and Prevention of Trespassing in the Vicinity of Highway-Rail Grade Crossings: State of the Practice and Research Needs","Proposal Created > Assigned to SP Proposal Administrator: Kasi Smart > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Ahmed Fathy Abdelaty Ahmed > Tashina Lemons > Farrell Jean Rapp","9/28/2023 05:30:06 PM > 9/29/2023 07:57:14 AM > 10/17/2023 11:41:01 AM","PI is unable to meet the due date and will not submit the proposal.",NA,"4925e4ef-da5f-448b-8c18-321a01242c27","PI Abandoned",NA,"10/17/2023 11:02:18 AM","Cancelled > Not Yet Active",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"240453A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,0,0,0,0,0
